road_grade(%),acceleration(m/s^2),speed(m/s),Tacoma(g/s),Tacoma_fit(g/s),Tacoma(gal/hr),Tacoma_fit(gal/hr),Tacoma(KW),Tacoma_fit(KW),Prius(SOC %/s),Prius_fit(KW)
0,-3,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-3,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.54871940694454e-05,-11.69
0,-3,10,0,0,0,0,0,0,-7.69535592950981e-05,-23.38
0,-3,15,0,0,0,0,0,0,-0.000116458349774967,-35.07
0,-3,20,0,0,0,0,0,0,-0.000153287003370266,-46.76
0,-3,25,0,0,0,0,0,0,-0.000188081089779002,-58.45
0,-3,30,0,0,0,0,0,0,-0.000220255167062945,-70.14
0,-2.5,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-2.5,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.54871940694454e-05,-11.69
0,-2.5,10,0,0,0,0,0,0,-7.69535592950981e-05,-23.38
0,-2.5,15,0,0,0,0,0,0,-0.000116458349774967,-35.07
0,-2.5,20,0,0,0,0,0,0,-0.000153287003370266,-46.76
0,-2.5,25,0,0,0,0,0,0,-0.000188081089779002,-58.45
0,-2.5,30,0,0,0,0,0,0,-0.000220255167062945,-70.14
0,-2,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-2,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.54871940694454e-05,-11.69
0,-2,10,0,0,0,0,0,0,-7.69535592950981e-05,-23.38
0,-2,15,0,0,0,0,0,0,-0.000116458349774967,-35.07
0,-2,20,0,0,0,0,0,0,-0.000153287003370266,-46.76
0,-2,25,0,0,0,0,0,0,-0.000188081089779002,-58.45
0,-2,30,0,0,0,0,0,0,-0.000219898832587135,-70.14
0,-1.5,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-1.5,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.25561591348804e-05,-10.271045160915
0,-1.5,10,0,0,0,0,0,0,-6.63944522434643e-05,-20.27904442157
0,-1.5,15,0,0,0,0,0,0,-9.75752995002611e-05,-29.773774871775
0,-1.5,20,0,0,0,0,0,0,-0.000125409125499782,-38.50592258403
0,-1.5,25,0,0,0,0,0,0,-0.000149176326217658,-46.226173630835
0,-1.5,30,0,0,0,0,0,0,-0.000168098899055845,-52.68521408469
0,-1,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-1,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-2.20548454687974e-05,-6.658177660915
0,-1,10,0,0,0,0,0,0,-4.41187234444278e-05,-13.05330942157
0,-1,15,0,0,0,0,0,0,-6.40570164847835e-05,-18.935172371775
0,-1,20,0,0,0,0,0,0,-8.11312166655779e-05,-24.05445258403
0,-1,25,0,0,0,0,0,0,-9.46028296724449e-05,-28.161836130835
0,-1,30,0,0,0,0,0,0,-0.000103742492341937,-31.00800908469
0,-0.5,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-0.5,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-1.05375387210715e-05,-3.045310160915
0,-0.5,10,0,0,0,0,0,0,-2.03458170463669e-05,-5.82757442157
0,-0.5,15,0,0,0,0,0,0,-2.83134794828346e-05,-8.096569871775
0,-0.5,20,0,0,0,0,0,0,-3.36349054121418e-05,-9.60298258403
0,-0.5,25,0,0,0,0,0,0,-3.54943418155165e-05,-10.097498630835
0,-0.5,30,0,0.0229074063027033,0,0.0256326560540001,0,0.384489840810002,-3.30813003554099e-05,-9.33080408469
0,0,0,0.200487388049937,0.202898145738508,0.224338984219372,0.22703654508,3.36508476329058,3.4055481762,0,0.00104601
0,0,5,0.25334167260449,0.242980516160659,0.283481240617348,0.271887437463167,4.25221860926022,4.0783115619475,2.03157739236523e-06,0.653115465
0,0,10,0.333366925874865,0.334679208358044,0.373026943243302,0.374495345431333,5.59540414864953,5.61743018147,5.01788707628445e-06,1.60893047
0,0,15,0.512564850241743,0.509457833595245,0.573543697527477,0.5700670451295,8.60315546291215,8.5510056769425,9.85521374467623e-06,3.155388525
0,0,20,0.799694695426426,0.798780003136848,0.894832824161981,0.893809312702667,13.4224923624297,13.40713969054,1.74571556614643e-05,5.57938713
0,0,25,1.22925671358626,1.23410932824744,1.37549900346897,1.38092892429583,20.6324850520345,20.7139338644375,2.8807542951233e-05,9.167823785
0,0,30,1.85724065673253,1.84690942019159,2.0781929797924,2.066632656054,31.172894696886,30.99948984081,4.49825609596261e-05,14.20759599
0,0.5,0,0.213329615431394,0.339890899834573,0.238709026514264,0.380327061746667,3.58063539771397,5.7049059262,0,0.00104601
0,0.5,5,0.645372234433188,0.82921564072096,0.722150918939926,0.927865819129833,10.8322637840989,13.9179872869475,1.5671887972443e-05,5.554765465
0,0.5,10,0.962084652592057,1.37015670338258,1.0765419999476,1.533161592098,16.148129999214,22.99742388147,3.20484965256772e-05,11.41223047
0,0.5,15,1.49224306419028,1.99417769908402,1.66977233074365,2.23142115679617,25.0465849611548,33.4713173519425,5.06379365955613e-05,17.860338525
0,0.5,20,2.17179531854029,2.73274223908986,2.43016960035591,3.05785128936933,36.4525440053386,45.86776934054,7.25377933928332e-05,25.18598713
0,0.5,25,2.99467055233709,3.61731393466468,3.35094070663254,4.0476587659625,50.2641105994881,60.7148814894375,9.90452111270652e-05,33.676073785
0,0.5,30,4.33709133305878,4.67935639707307,4.85306668708108,5.23605036272067,72.7960003062162,78.54075544081,0.00013178402890794,43.61749599
0,1,0,0.352945791629779,0.476883653930638,0.394935068728636,0.533617578413333,5.92402603092953,8.0042636762,0,0.00104601
0,1,5,1.06813790168415,1.41545076528126,1.1952121986364,1.5838442007965,17.928182979546,23.7576630119475,3.04163065457829e-05,10.456415465
0,1,10,1.71955641506992,2.40563419840712,1.92412871062296,2.69182783876467,28.8619306593444,40.37741758147,6.08497873003605e-05,21.21553047
0,1,15,2.57963132066376,3.47889756457279,2.88652506158662,3.89277526846283,43.2978759237992,58.3916290269425,9.4286160430679e-05,32.565288525
0,1,20,3.59296715103925,4.66670447504287,4.02041549265406,5.221893266036,60.3062323898109,78.32839899054,0.00013213988251624,44.79258713
0,1,25,4.96053483428683,6.00051854108193,5.55068005390709,6.71438860762917,83.2602008086064,100.715829114437,0.000176265302590978,58.184323785
0,1,30,8.4686721949014,7.51180337395456,9.47617372030307,8.40546806938733,142.142605804546,126.08202104081,0.000229310382602672,73.02739599
0,1.5,0,0.546883865191755,0.613876408026703,0.611945579202834,0.68690809508,9.17918368804252,10.3036214262,0,0.00104601
0,1.5,5,1.59178526738712,2.00168588984156,1.78115687702032,2.23982258246317,26.7173531553048,33.5973387369475,4.63101243713366e-05,15.358065465
0,1.5,10,2.47488397540235,3.44111169343166,2.76931612757742,3.85049408543133,41.5397419136613,57.75741128147,9.15563557882123e-05,31.01883047
0,1.5,15,3.76403627779172,4.96361743006157,4.21183638201887,5.5541293801295,63.177545730283,83.3119407019425,0.000141129468194144,47.270238525
0,1.5,20,5.51088858527308,6.60066671099588,6.16650832449549,7.38593524270267,92.4976248674323,110.78902864054,0.000196988846466955,64.39918713
0,1.5,25,7.87103521022029,8.38372314749917,8.80743702130485,9.38111844929583,132.111555319573,140.716776739437,0.000261977398069592,82.692573785
0,1.5,30,11.007333064259,10.344250350836,12.3168541553602,11.574885776054,184.752812330403,173.62328664081,0.000340664672572568,102.43729599
0,2,0,0.771261491371735,0.750869162122768,0.863016976902089,0.840198611746667,12.9452546535313,12.6029791762,0,0.00104601
0,2,5,2.18406638946791,2.58792101440186,2.4439005368201,2.89580096412983,36.6585080523015,43.4370144619475,6.33953886952215e-05,20.259715465
0,2,10,3.68364029601661,4.47658918845619,4.12187584603615,5.009160332098,61.8281376905423,75.13740498147,0.000124309559813017,40.82213047
0,2,15,6.18127824468203,6.44833729555034,6.91665294299644,7.21548349179617,103.749794144947,108.232252376943,0.000191549200096262,61.975188525
0,2,20,10.6807256375028,8.53462894694889,11.9513908757511,9.54997721936933,179.270863136266,143.24965829054,0.000268006912217915,84.00578713
0,2,25,18.8504578823379,10.7669277539164,21.0930603392389,12.0478482909625,316.395905088583,180.717724364438,0.000358314214701827,107.200823785
0,2,30,13.4802447146304,13.1766973277175,15.0839633142185,14.7443034827207,226.259449713277,221.16455224081,0.000470854478779554,131.84719599
